City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
276,mirny,62.5353,113.9611,7.82,86,100,3.55,RU,1725415839
277,conde,-7.2597,-34.9075,22.7,88,40,1.54,BR,1725415840
278,qaqortoq,60.7167,-46.0333,5.38,98,100,1.42,GL,1725415842
279,am timan,11.0297,20.2827,22.45,94,100,2.66,TD,1725415844
280,oroqen zizhiqi,50.5667,123.7167,13.76,93,100,5.34,CN,1725415845
281,cabedelo,-6.9811,-34.8339,23.37,78,63,5.13,BR,1725415847
282,touros,-5.1989,-35.4608,22.75,81,49,5.13,BR,1725415848
283,crane,31.3974,-102.3501,20.23,86,94,5.49,US,1725415849
284,mufumbwe,-13.6833,24.8,10.27,50,0,2.3,ZM,1725415851
285,balsas,-7.5325,-46.0356,25.97,30,43,0.71,BR,1725415852
286,chegdomyn,51.1167,133.0167,21.07,54,100,5.48,RU,1725415853
287,koksan,38.7819,126.6664,25.76,63,8,1.58,KP,1725415855
288,tres arroyos,-38.3739,-60.2798,7.32,48,0,3.52,AR,1725415856
289,acapulco de juarez,16.8634,-99.8901,29.9,66,75,0.0,MX,1725415857
290,valparaiso,-33.0393,-71.6273,11.8,76,0,1.54,CL,1725415858
291,qarqaraly,49.4058,75.4742,13.14,38,77,6.27,KZ,1725415859
292,tromso,69.6496,18.957,15.01,67,100,5.66,NO,1725415861
293,ji'an,27.1172,114.9793,31.48,71,0,2.28,CN,1725415862
294,kapa'a,22.0752,-159.319,29.18,67,0,5.14,US,1725415863
295,tazovsky,67.4667,78.7,5.7,72,100,5.43,RU,1725415864
296,carutapera,-1.195,-46.02,25.51,81,7,2.7,BR,1725415865
297,basyayla,36.7534,32.6802,16.14,65,0,3.92,TR,1725415867
298,shakhun'ya,57.6758,46.6114,6.02,96,1,2.74,RU,1725415868
299,wenshui,28.4506,106.5267,28.29,52,0,3.26,CN,1725415870
300,novyy urengoy,66.0833,76.6333,5.96,82,100,6.26,RU,1725415871
301,paita,-5.0892,-81.1144,16.8,86,0,6.58,PE,1725415873
302,namsos,64.4662,11.4957,13.95,88,40,3.09,NO,1725415876
303,urangan,-25.3,152.9,21.04,57,0,8.36,AU,1725415878
304,mar del plata,-38.0023,-57.5575,8.94,75,0,2.57,AR,1725415879
305,prado,-17.3411,-39.2208,22.54,82,4,4.16,BR,1725415881
306,shanwei,22.782,115.3475,30.42,64,93,2.88,CN,1725415882
307,cafayate,-26.073,-65.9761,11.97,53,0,2.29,AR,1725415884
308,mohr,54.3528,9.7167,18.87,93,83,1.54,DE,1725415886
309,mertola,37.6592,-7.6643,16.42,78,0,4.3,PT,1725415889
310,port douglas,-16.4833,145.4667,24.52,75,21,8.7,AU,1725415891
311,cidreira,-30.1811,-50.2056,14.91,88,0,1.56,BR,1725415894
312,as sulayyil,20.4607,45.5779,29.48,20,54,3.12,SA,1725415895
313,ivano-frankove,49.9167,23.7333,16.37,50,44,2.45,UA,1725415897
314,yelizovo,53.1873,158.3805,16.08,51,75,6.0,RU,1725415898
315,rehoboth,-23.3167,17.0833,13.1,20,80,1.97,NA,1725415900
316,lautoka,-17.6167,177.4667,26.92,54,40,8.23,FJ,1725415904
317,charters towers,-20.1,146.2667,26.81,40,20,8.85,AU,1725415906
318,le port,-20.9373,55.2919,20.98,76,1,2.75,RE,1725415907
319,gummi,12.1436,5.1081,23.57,91,100,3.58,NG,1725415908
320,kenora,49.8167,-94.4337,23.21,69,7,4.02,CA,1725415909
321,shambu,9.5667,37.1,9.75,88,20,0.84,ET,1725415911
322,mount isa,-20.7333,139.5,29.87,26,0,7.72,AU,1725415912
323,nyurba,63.2842,118.3319,12.05,57,100,1.59,RU,1725415913
324,kayyerkan,69.3786,87.7439,4.06,79,99,6.29,RU,1725415914
325,ugoofaaru,5.6667,73.0,28.05,77,91,6.77,MV,1725415915
326,santa cruz,-17.8,-63.1667,24.7,53,0,2.57,BO,1725415917
327,northam,51.0333,-4.2167,15.9,89,91,4.9,GB,1725415918
328,carmo,-21.9336,-42.6086,20.57,81,0,1.11,BR,1725415920
329,bondo,3.8146,23.6866,21.06,99,100,1.44,CD,1725415921
330,pitimbu,-7.4706,-34.8086,24.04,74,96,5.76,BR,1725415922
331,panacan,9.2463,118.4082,29.45,71,100,5.21,PH,1725415923
332,chonchi,-42.6128,-73.8092,6.18,92,74,2.07,CL,1725415925
333,chernyshevskiy,63.0128,112.4714,7.09,92,100,3.2,RU,1725415926
334,palu,-0.8917,119.8707,32.79,56,36,1.29,ID,1725415927
335,taroa,8.7058,171.2275,28.68,78,24,8.69,MH,1725415928
336,roma,43.2128,-75.4557,13.39,90,0,0.89,US,1725415711
337,luwuk,-0.9516,122.7875,27.83,67,70,2.51,ID,1725415931
338,callao,-12.0667,-77.15,16.51,88,100,4.63,PE,1725415932
339,tinogasta,-28.0632,-67.5649,11.94,34,0,0.83,AR,1725415933
340,irtyshsk,53.3333,75.4572,11.76,89,100,4.05,KZ,1725415934
341,faya-largeau,17.9257,19.1043,27.85,66,84,3.25,TD,1725415936
342,dzilam gonzalez,21.2833,-88.9333,23.13,100,100,2.16,MX,1725415937
343,fort mcmurray,56.7268,-111.381,12.41,87,100,4.0,CA,1725415938
344,noshiro,40.2039,140.0242,27.8,40,0,2.08,JP,1725415939
345,muzaffarabad,34.37,73.4711,22.38,73,0,1.33,PK,1725415941
346,tenenkou,14.4572,-4.9169,27.12,74,95,4.4,ML,1725415942
347,itaueira,-7.6033,-43.0256,25.66,25,4,3.0,BR,1725415943
348,polyarnyy,69.1989,33.4478,11.06,79,0,6.55,RU,1725415944
349,osh,40.5151,72.8083,20.2,14,0,1.88,KG,1725415946
350,berezovo,63.9381,65.0419,5.12,89,62,3.17,RU,1725415947
351,viqueque,-8.8673,126.3658,30.33,52,0,3.84,TL,1725415949
352,verkhnevilyuysk,63.4453,120.3167,11.99,55,100,2.54,RU,1725415950
353,pantai remis,4.4557,100.6288,28.14,78,51,2.2,MY,1725415951
354,kruisfontein,-34.0033,24.7314,12.86,80,100,2.7,ZA,1725415952
355,san luis de la loma,17.2706,-100.8939,27.59,78,100,0.91,MX,1725415953
356,petropavlovsk-kamchatsky,53.0452,158.6483,15.33,51,75,6.0,RU,1725415955
357,belaya glina,46.07,40.86,20.51,68,79,3.19,RU,1725415956
358,mianwali,32.5741,71.5264,27.71,72,0,0.45,PK,1725415957
359,vibo valentia,38.6996,16.1274,21.33,76,8,1.94,IT,1725415958
360,talnakh,69.4865,88.3972,4.94,66,98,6.17,RU,1725415960
361,savanna-la-mar,18.219,-78.1332,26.07,89,8,0.25,JM,1725415962
362,queenstown,-31.8976,26.8753,16.96,24,100,2.66,ZA,1725415963
